locale_id,page_id,key,translation
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,heading.title,Lottoland 常问问题
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.title,我的帐户
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.1.title,如何注册？
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.1.content.ul.li1,进入亚洲Lottoland的页面www.lottoland88.com，请点击“新用户？注册”。
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.1.content.ul.li2,按照页面指示要求，填写正确的个人信息后，点击“注册”
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.1.content.ul.li3,您的账户注册成功。
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.1.content.p1,请注意，注册邮箱在网站功能使用中十分重要，请确保输入正确的邮箱地址。
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.2.title,修改账户个人资料？
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.2.content.ul.li1,登录帐户后，请您将鼠标移到”账户余额“。
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.2.content.ul.li2,点击“会员资料”
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.2.content.ul.li3,在编辑资料完成后点击右下角的“保存”完成修改。
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.3.title,忘记密码应该如何操作？
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.3.content.p1,"请点击“忘记密码”, 您将被带到一个新页面。请按指示填写您的邮箱地址。您将收到一封重置密码的邮件，请按照邮件上的提示完成操作。"
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.4.title,如果获悉Lottoland最新信息？
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.4.content.p1,您可以通过激活我们的最新信息，您可以将第一时间收到我们的优惠，新产品等信息。
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.5.title,一用户一账户的原则
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.5.content.p1,请注意，一个用户只能持有一个账户。账户删除后请不要在重复注册，Lottoland有权冻结重复注册的多个账户，如果需要重开该账户，请联系我们的客服。
58a82d87a5527676b47c8742,58c90207b2552f75763a69de,faq1.6.title,账户和信息安全
